code,name,slug,geoname_id,federal_district
04,Алтайский край,altayskiy-kray,1511732,
05,Амурская область,amurskaya-oblast,2027748,
06,Архангельская область,arhangelskaya-oblast,581043,
07,Астраханская область,astrahanskaya-oblast,580491,
09,Белгородская область,belgorodskaya-oblast,578071,
10,Брянская область,bryanskaya-oblast,571473,
83,Владимирская область,vladimirskaya-oblast,826294,
84,Волгоградская область,volgogradskaya-oblast,472755,
85,Вологодская область,vologodskaya-oblast,472454,
86,Воронежская область,voronezhskaya-oblast,472039,
89,Еврейская автономная область,evreyskaya-avtonomnaya-oblast,2026639,
93,Забайкальский край,zabaykalskiy-kray,7779061,
21,Ивановская область,ivanovskaya-oblast,555235,
20,Иркутская область,irkutskaya-oblast,2023468,
22,Кабардино-Балкарская Республика,kabardino-balkarskaya-respublika,554667,
23,Калининградская область,kaliningradskaya-oblast,554230,
25,Калужская область,kaluzhskaya-oblast,553899,
92,Камчатский край,kamchatskiy-kray,2125072,
27,Карачаево-Черкесская Республика,karachaevo-cherkesskaya-respublika,552927,
29,Кемеровская область,kemerovskaya-oblast,1503900,
33,Кировская область,kirovskaya-oblast,548389,
37,Костромская область,kostromskaya-oblast,543871,
38,Краснодарский край,krasnodarskiy-kray,542415,
91,Красноярский край,krasnoyarskiy-kray,1502020,
40,Курганская область,kurganskaya-oblast,1501312,
41,Курская область,kurskaya-oblast,538555,
42,Ленинградская область,leningradskaya-oblast,536199,
43,Липецкая область,lipetskaya-oblast,535120,
44,Магаданская область,magadanskaya-oblast,2123627,
48,Москва,moskva,524894,
47,Московская область,moskovskaya-oblast,524925,
49,Мурманская область,murmanskaya-oblast,524304,
50,Ненецкий автономный округ,nenetskiy-avtonomnyy-okrug,522652,
51,Нижегородская область,nizhegorodskaya-oblast,559838,
52,Новгородская область,novgorodskaya-oblast,519324,
53,Новосибирская область,novosibirskaya-oblast,1496745,
54,Омская область,omskaya-oblast,1496152,
55,Оренбургская область,orenburgskaya-oblast,515001,
56,Орловская область,orlovskaya-oblast,514801,
57,Пензенская область,penzenskaya-oblast,511555,
90,Пермский край,permskiy-kray,511180,
59,Приморский край,primorskiy-kray,2017623,
60,Псковская область,pskovskaya-oblast,504338,
01,Республика Адыгея,respublika-adygeya,584222,
03,Республика Алтай,respublika-altay,1506272,
08,Республика Башкортостан,respublika-bashkortostan,578853,
11,Республика Бурятия,respublika-buryatiya,2050915,
17,Республика Дагестан,respublika-dagestan,567293,
19,Республика Ингушетия,respublika-ingushetiya,556349,
24,Республика Калмыкия,respublika-kalmykiya,553972,
28,Республика Карелия,respublika-kareliya,552548,
34,Республика Коми,respublika-komi,545854,
45,Республика Марий Эл,respublika-mariy-el,529352,
46,Республика Мордовия,respublika-mordoviya,525369,
63,Республика Саха (Якутия),respublika-saha-yakutiya,2013162,
68,Республика Северная Осетия — Алания,respublika-severnaya-osetiya-alaniya,519969,
73,Республика Татарстан,respublika-tatarstan,484048,
79,Республика Тыва,respublika-tyva,1488873,
31,Республика Хакасия,respublika-hakasiya,1503834,
61,Ростовская область,rostovskaya-oblast,501165,
62,Рязанская область,ryazanskaya-oblast,500059,
65,Самарская область,samarskaya-oblast,499068,
66,Санкт-Петербург,sankt-peterburg,536203,
67,Саратовская область,saratovskaya-oblast,498671,
64,Сахалинская область,sahalinskaya-oblast,2121529,
71,Свердловская область,sverdlovskaya-oblast,1490542,
69,Смоленская область,smolenskaya-oblast,491684,
70,Ставропольский край,stavropolskiy-kray,487839,
72,Тамбовская область,tambovskaya-oblast,484638,
77,Тверская область,tverskaya-oblast,480041,
75,Томская область,tomskaya-oblast,1489421,
76,Тульская область,tulskaya-oblast,480508,
78,Тюменская область,tyumenskaya-oblast,1488747,
80,Удмуртская Республика,udmurtskaya-respublika,479613,
81,Ульяновская область,ulyanovskaya-oblast,479119,
30,Хабаровский край,habarovskiy-kray,2022888,
32,Ханты-Мансийский автономный округ — Югра,hanty-mansiyskiy-avtonomnyy-okrug-yugra,1503773,
13,Челябинская область,chelyabinskaya-oblast,1508290,
12,Чеченская Республика,chechenskaya-respublika,569665,
16,Чувашская Республика,chuvashskaya-respublika,567395,
15,Чукотский автономный округ,chukotskiy-avtonomnyy-okrug,2126099,
87,Ямало-Ненецкий автономный округ,yamalo-nenetskiy-avtonomnyy-okrug,1486462,
88,Ярославская область,yaroslavskaya-oblast,468898,
