region_code,region_name,name,type,slug,geoname_id,fias_id,latitude,longitude,population,timezone
48,Москва,Москва,город,moskva,524901,,55.75204,37.61781,10381222,Europe/Moscow
66,Санкт-Петербург,Санкт-Петербург,город,sankt-peterburg,498817,,59.93863,30.31413,5351935,Europe/Moscow
53,Новосибирская область,Новосибирск,город,novosibirsk,1496747,,55.02259,82.93175,1612833,Asia/Novosibirsk
71,Свердловская область,Екатеринбург,город,ekaterinburg,1486209,,56.85733,60.61529,1495066,Asia/Yekaterinburg
51,Нижегородская область,Нижний Новгород,город,nizhniy-novgorod,520555,,56.32867,44.00205,1259013,Europe/Moscow
73,Республика Татарстан,Казань,город,kazan,551487,,55.78874,49.12214,1243500,Europe/Moscow
13,Челябинская область,Челябинск,город,chelyabinsk,1508291,,55.1611,61.42877,1202371,Asia/Yekaterinburg
54,Омская область,Омск,город,omsk,1496153,,54.99244,73.36859,1172070,Asia/Omsk
65,Самарская область,Самара,город,samara,499099,,53.20767,50.13553,1163399,Europe/Samara
61,Ростовская область,Ростов-на-Дону,город,rostov-na-donu,501175,,47.21997,39.70769,1130305,Europe/Moscow
08,Республика Башкортостан,Уфа,город,ufa,479561,,54.74306,55.96779,1120547,Asia/Yekaterinburg
91,Красноярский край,Красноярск,город,krasnoyarsk,1502026,,56.03742,92.93136,1090811,Asia/Krasnoyarsk
86,Воронежская область,Воронеж,город,voronezh,472045,,51.66833,39.19204,1047549,Europe/Moscow
84,Волгоградская область,Волгоград,город,volgograd,472757,,48.71378,44.4976,1013533,Europe/Volgograd
90,Пермский край,Молотов,город,molotov,511196,,58.01046,56.25017,982419,Asia/Yekaterinburg
38,Краснодарский край,Краснодар,город,krasnodar,542420,,45.04534,38.98178,899541,Europe/Moscow
67,Саратовская область,Саратов,город,saratov,498677,,51.54048,45.9901,844858,Europe/Saratov
78,Тюменская область,Тюмень,город,tyumen,1488754,,57.15222,65.52722,768358,Asia/Yekaterinburg
65,Самарская область,Тольятти,населённый пункт,tolyatti,482283,,53.5303,49.3461,702879,Europe/Samara
80,Удмуртская Республика,Ижевск,город,izhevsk,554840,,56.85225,53.19862,648213,Europe/Samara
04,Алтайский край,Барнаул,город,barnaul,1510853,,53.36199,83.72786,632372,Asia/Barnaul
81,Ульяновская область,Ульяновск,город,ulyanovsk,479123,,54.32824,48.38657,626540,Europe/Ulyanovsk
20,Иркутская область,Иркутск,город,irkutsk,2023469,,52.29566,104.29076,623869,Asia/Irkutsk
30,Хабаровский край,Хабаровск,город,habarovsk,2022890,,48.46204,135.0971,618150,Asia/Vladivostok
88,Ярославская область,Ярославль,город,yaroslavl,468902,,57.62987,39.87368,608722,Europe/Moscow
59,Приморский край,Владивосток,город,vladivostok,2013348,,43.10562,131.87353,604901,Asia/Vladivostok
17,Республика Дагестан,Махачкала,город,mahachkala,532096,,42.97782,47.50027,596356,Europe/Moscow
75,Томская область,Томск,город,tomsk,1489425,,56.50049,84.98216,574002,Asia/Tomsk
55,Оренбургская область,Оренбург,город,orenburg,515003,,51.76712,55.09883,564773,Asia/Yekaterinburg
29,Кемеровская область,Кемерово,город,kemerovo,1503901,,55.35417,86.10435,558973,Asia/Novokuznetsk
29,Кемеровская область,Новокузнецк,город,novokuznetsk,1496990,,53.75752,87.13599,539616,Asia/Novokuznetsk
62,Рязанская область,Рязань,город,ryazan,500096,,54.62696,39.70415,538962,Europe/Moscow
07,Астраханская область,Астрахань,город,astrahan,580497,,46.34968,48.04076,533925,Europe/Astrakhan
57,Пензенская область,Пенза,город,penza,511565,,53.19568,45.01075,523553,Europe/Moscow
73,Республика Татарстан,Набережные Челны,город,naberezhnye-chelny,523750,,55.73718,52.41961,509870,Europe/Moscow
43,Липецкая область,Липецк,город,lipetsk,535121,,52.5876,39.55151,509735,Europe/Moscow
33,Кировская область,Киров,город,kirov,548408,,58.59809,49.65783,507155,Europe/Kirov
66,Санкт-Петербург,Калининский,район города,kalininskiy,8504951,,59.99675,30.3899,504641,Europe/Moscow
16,Чувашская Республика,Чебоксары,город,cheboksary,569696,,56.13218,47.246,492331,Europe/Moscow
76,Тульская область,Тула,город,tula,480562,,54.19609,37.61822,482873,Europe/Moscow
23,Калининградская область,Калининград,город,kaliningrad,554234,,54.70639,20.51102,475056,Europe/Kaliningrad
41,Курская область,Курск,город,kursk,538560,,51.72689,36.18457,448733,Europe/Moscow
70,Ставропольский край,Ставрополь,город,stavropol,487846,,45.03442,41.9642,433931,Europe/Moscow
10,Брянская область,Брянск,город,bryansk,571476,,53.27096,34.32143,427236,Europe/Moscow
77,Тверская область,Тверь,город,tver,480060,,56.85836,35.90057,420065,Europe/Moscow
13,Челябинская область,Магнитогорск,город,magnitogorsk,532288,,53.39808,59.0066,413351,Asia/Yekaterinburg
21,Ивановская область,Иваново,город,ivanovo,555312,,56.99988,40.97257,406113,Europe/Moscow
71,Свердловская область,Нижний Тагил,населённый пункт,nizhniy-tagil,520494,,57.91944,59.965,381116,Asia/Yekaterinburg
11,Республика Бурятия,Улан-Удэ,город,ulan-ude,2014407,,51.82648,107.59979,360278,Asia/Irkutsk
83,Владимирская область,Владимир,город,vladimir,473247,,56.13854,40.39976,357024,Europe/Moscow
06,Архангельская область,Архангельск,город,arhangelsk,581049,,64.5461,40.55183,349742,Europe/Moscow
93,Забайкальский край,Чита,город,chita,2025339,,52.04311,113.49171,349005,Asia/Chita
09,Белгородская область,Белгород,город,belgorod,578072,,50.60343,36.58091,345289,Europe/Moscow
25,Калужская область,Калуга,город,kaluga,553915,,54.53063,36.27,340851,Europe/Moscow
66,Санкт-Петербург,Красногвардейский,район города,krasnogvardeyskiy,8504952,,59.97305,30.47607,337091,Europe/Moscow
69,Смоленская область,Смоленск,город,smolensk,491687,,54.77826,32.05088,330025,Europe/Moscow
38,Краснодарский край,Сочи,город,sochi,491422,,43.59699,39.72477,327608,Europe/Moscow
84,Волгоградская область,Волжский,населённый пункт,volzhskiy,472231,,48.78583,44.77973,323293,Europe/Volgograd
46,Республика Мордовия,Саранск,город,saransk,498698,,54.18485,45.17166,318841,Europe/Moscow
85,Вологодская область,Череповец,населённый пункт,cherepovets,569223,,59.13333,37.9,315738,Europe/Moscow
85,Вологодская область,Вологда,город,vologda,472459,,59.2239,39.88398,312420,Europe/Moscow
40,Курганская область,Курган,город,kurgan,1501321,,55.44905,65.34344,309285,Asia/Yekaterinburg
68,Республика Северная Осетия — Алания,Владикавказ,город,vladikavkaz,473249,,43.04101,44.66986,306258,Europe/Moscow
56,Орловская область,Орёл,город,oryol,515012,,52.96879,36.0791,303696,Europe/Moscow
32,Ханты-Мансийский автономный округ — Югра,Сургут,город,surgut,1490624,,61.25757,73.41775,300367,Asia/Yekaterinburg
12,Чеченская Республика,Грозный,город,groznyy,558418,,43.31195,45.68895,297137,Europe/Moscow
49,Мурманская область,Мурманск,город,murmansk,524305,,68.96778,33.09922,295374,Europe/Moscow
72,Тамбовская область,Тамбов,город,tambov,484646,,52.73632,41.44102,293661,Europe/Moscow
28,Республика Карелия,Петрозаводск,город,petrozavodsk,509820,,61.78491,34.34691,279190,Europe/Moscow
61,Ростовская область,Таганрог,населённый пункт,taganrog,484907,,47.23627,38.9053,279056,Europe/Moscow
37,Костромская область,Кострома,город,kostroma,543878,,57.76638,40.92828,277280,Europe/Moscow
30,Хабаровский край,Комсомольск-на-Амуре,город,komsomolsk-na-amure,2021851,,50.55034,137.00995,275908,Asia/Vladivostok
45,Республика Марий Эл,Йошкар-Ола,город,yoshkar-ola,466806,,56.63877,47.89078,268272,Europe/Moscow
08,Республика Башкортостан,Стерлитамак,город,sterlitamak,487495,,53.63793,55.9533,267231,Asia/Yekaterinburg
20,Иркутская область,Братск,город,bratsk,2051523,,56.1325,101.61417,256600,Asia/Irkutsk
55,Оренбургская область,Орск,город,orsk,514734,,51.23206,58.48802,246836,Asia/Yekaterinburg
34,Республика Коми,Сыктывкар,город,syktyvkar,485239,,61.66393,50.8163,245083,Europe/Moscow
32,Ханты-Мансийский автономный округ — Югра,Нижневартовск,город,nizhnevartovsk,1497543,,60.9344,76.5531,244937,Asia/Yekaterinburg
20,Иркутская область,Ангарск,город,angarsk,2027667,,52.55968,103.91413,243158,Asia/Irkutsk
48,Москва,Марьино,район города,marino,529237,,55.65,37.71667,243000,Europe/Moscow
38,Краснодарский край,Новороссийск,город,novorossiysk,518255,,44.73188,37.76176,241856,Europe/Moscow
47,Московская область,Химки,город,himki,550280,,55.9001,37.42848,239967,Europe/Moscow
22,Кабардино-Балкарская Республика,Нальчик,город,nalchik,523523,,43.49806,43.61889,239300,Europe/Moscow
63,Республика Саха (Якутия),Якутск,город,yakutsk,2013159,,62.03114,129.72288,235600,Asia/Yakutsk
73,Республика Татарстан,Нижнекамск,город,nizhnekamsk,521118,,55.63794,51.81502,234297,Europe/Moscow
51,Нижегородская область,Дзержинск,город,dzerzhinsk,563708,,56.24422,43.45543,233126,Europe/Moscow
09,Белгородская область,Старый Оскол,город,staryy-oskol,487928,,51.3025,37.84613,226977,Europe/Moscow
05,Амурская область,Благовещенск,город,blagoveschensk,2026609,,50.27593,127.52637,225091,Asia/Yakutsk
52,Новгородская область,Великий Новгород,город,velikiy-novgorod,519336,,58.52131,31.27104,222868,Europe/Moscow
61,Ростовская область,Шахты,город,shahty,496015,,47.71916,40.21603,221312,Europe/Moscow
29,Кемеровская область,Прокопьевск,город,prokopevsk,1494114,,53.91518,86.71891,219000,Asia/Novokuznetsk
88,Ярославская область,Рыбинск,город,rybinsk,500004,,58.04562,38.83811,216724,Europe/Moscow
48,Москва,Выхино-Жулебино,район города,vyhino-zhulebino,470451,,55.70196,37.81178,216000,Europe/Moscow
48,Москва,Зеленоград,населённый пункт,zelenograd,463829,,55.9825,37.18139,215727,Europe/Moscow
